Customer_ID,Age,Age_Group,Gender,Gender_Label,Income,Log_Income,Education,Education_Ord,Region_East,Region_North,Region_South,Region_West,Signup_Year,Signup_Month,Signup_Day,Signup_Weekday,Days_Since_Signup,Signup_Channel,Churned
1,35,Adult,Male,1,28000.0,10.239959789157341,High School,0,True,False,False,False,2023,5,18,3,14,Referral,0
2,59,Senior,Male,1,21000.0,9.95227771670556,Bachelor,1,False,False,True,False,2023,2,21,1,100,Referral,0
3,56,Senior,Male,1,30000.0,10.308952660644293,PhD,3,False,False,True,False,2023,1,15,6,137,Offline,0
4,34,Adult,Female,0,47000.0,10.757902880692196,Master,2,False,False,False,True,2023,3,25,5,68,Referral,1
5,31,Adult,Male,1,20000.0,9.903487552536127,High School,0,True,False,False,False,2023,5,11,3,21,Online,0
6,48,Adult,Male,1,20000.0,9.903487552536127,Bachelor,1,True,False,False,False,2023,2,6,0,115,Offline,1
7,41,Adult,Female,0,49000.0,10.799575577092764,Bachelor,1,False,False,False,True,2023,5,6,5,26,Offline,1
8,52,Senior,Male,1,32000.0,10.373491181781864,Bachelor,1,False,True,False,False,2023,2,9,3,112,Offline,0
9,61,Senior,Female,0,17000.0,9.740968623038354,PhD,3,True,False,False,False,2023,3,13,0,80,Offline,0
10,62,Senior,Female,0,29000.0,10.275051108968611,PhD,3,False,False,True,False,2023,2,9,3,112,Referral,0
11,51,Senior,Male,1,17000.0,9.740968623038354,High School,0,False,True,False,False,2023,2,25,5,96,Referral,0
12,20,Young,Female,0,17000.0,9.740968623038354,High School,0,False,False,True,False,2023,4,14,4,48,Online,1
13,54,Senior,Female,0,25000.0,10.126631103850338,PhD,3,True,False,False,False,2023,5,19,4,13,Online,1
14,60,Senior,Male,1,8000.0,8.987196820661973,High School,0,True,False,False,False,2023,4,20,3,42,Offline,0
15,57,Senior,Female,0,9000.0,9.104979856318357,Master,2,True,False,False,False,2023,5,16,1,16,Online,0
16,43,Adult,Female,0,17000.0,9.740968623038354,Master,2,False,False,False,True,2023,4,3,0,59,Online,1
17,40,Adult,Male,1,13000.0,9.472704636443673,PhD,3,True,False,False,False,2023,4,4,1,58,Online,1
18,61,Senior,Male,1,26000.0,10.165851817003619,High School,0,False,False,False,True,2023,2,25,5,96,Online,0
19,56,Senior,Male,1,14000.0,9.546812608597396,Bachelor,1,False,False,False,True,2023,3,1,2,92,Online,0
20,32,Adult,Female,0,11000.0,9.305650551780507,Master,2,False,False,False,True,2023,5,18,3,14,Offline,0
21,66,Senior,Male,1,46000.0,10.736396675471232,PhD,3,False,True,False,False,2023,2,8,2,113,Offline,1
22,21,Young,Female,0,20000.0,9.903487552536127,High School,0,False,True,False,False,2023,1,28,5,124,Online,0
